,Sikayet Icerigi
5567,"Merhaba, Ankara Büyükşehir Belediyesi CV merkezine CV oluşturdum fakat daha önce kaydınız bulunmaktadır. Yazısı çıktı ve yeni başvurumu kabul etmedi. CV mi yenilemek ve yeniden başvuru yapmak istiyorum. CV mi silerseniz yeni başvuru yapabilirim. Teşekkür ederim."
5568,Vodafone hediye çarkını iki gün oldu çevirdiğimde hediye gelmiyor hay aksi bir şeyler ters gitti diye bir ibare görüyorum lütfen şuna çözüm getirin artık. Birkaç gündür internetsiz kaldım ve iki gündür de bu tarz bir problemle karşılaşmak hiç de hoş olmuyor. İlgilenirseniz sevinirim.
5569,"Instagram üzerinden Awen Wear isimli mağazadan 1 hafta önce alışveriş yaptım. Mağaza sayfasında 36 saat içinde teslim bilgisi olmasına rağmen 1 haftadır ürünüm kargoya verilmediği gibi hiçbir şekilde irtibat kuramıyorum. Instagram üzerinden awenwear, awenwear1, awenreklam isimleriyle satış yapan bir firma."
5571,"Getgonct, bütün verilerimin silinmesini istiyorum ve bu durumdan çok rahatsızım. Acilen şahsıma ait bütün bilgi, numara vs. verilerin silinmesini talep ediyorum. Bütün verileri, etiketleri her şeyi silin; defalarca aynı mağduriyeti yaşamak istemiyorum."
5573,Saat & Saat online'dan ürün aldım. Siparişlerimle ilgili müşteri hizmetlerine ait olan 0 212 232 72 28 telefon numarasını mesai saatleri içerisinde aradığım halde hiçbir şekilde bir diyaloğa gireceğim kişiyle görüşemiyorum. Muhatap alınacak bir kişi karşımıza çıkmıyor telefon hemen sonlandırılıyor. Kiminle görüşebileceğim konusunda yardım bekliyorum.
5575,"Altus marka klima aldık ve gelip kurulumunu yapmıyorlar. Aradığımız zaman size dönüş sağlanacak deniliyor. Arayan dönen yok, şikayetçiyim. Hiçbir çözüm üretilmiyor, gelinip kurulmuyor. Bu nasıl bir sorumsuzluktur? Aldığımıza bin pişman olduk. Bu nasıl bir iştir, nasıl bir çalışma sistemidir? Anlam veremedik."
5576,Almış olduğum kemer pantolon ve gömleğimi kullanamaz hale getirdi. Boyası geçti. Her yerine bu nasıl olabilir. Sprey boyamı bu mağduriyetimin giderilmesini istiyorum. Almış olduğum. Ürünü iade edeceğim lütfen bu durumlara dikkat edilsin fotoğraf ekledim bakabilirsiniz
5577,"Ziraat Bankkart Genç kart kredi kartımın limitini arttıramıyorum. Her seferinde red veriyor. 4-5 bin TL olan limitimi arttırmaya çalışıyorum fakat kabul edilmiyor. Çok kez uğraştım, her başvuruma red verilmiş. Bu durumun düzelmesini ve buna çözüm üretilmesini istiyorum."
5578,Türk Telekom Tivibu Go üyeliği almıştım. Fakat iptal etmek istiyorum. Ama müşteri hizmetlerine ulaşamıyorum. Uygulama da hesap bilgilerinde veya ayarlarında herhangi bir iptal seçeneği bulunmuyor. Müşteri hizmetlerinde de iptale yönelik herhangi bir tuşlama veya seçenek bulunmuyor. İnsanları zorla mı tutacaksınız bu sistem de.
5582,"Sleepy marka bebek bezi iç kısmında sert bir bölge var, hatalı ürün üretiliyor. Kalite kontrolden geçmiyor mu bunlar. Dünya kadar para veriyoruz. Bir kere alınan bir şey de değil sürekli ihtiyaç olan bir ürün. Bebeğimin sağlığı her şeyden daha önemli daha dikkat edilmesi gerekiyor."
5585,Kargom saçma bir şekilde bekletiliyor 28 hazirandan beri? Tahmini teslimat 2 Temmuz diyor ama hala 2. Aşamada? Şaka gibisiniz gerçekten bari tahmini teslimat tarihini düzgün sallayın. Nasıl kargo şirketi bu ben anlamadım. Bir an önce elime ulaşsın gerekeni yapın!
5592,"İzmirim Kart mobil uygulaması üzerinden öğretmen kartı çıkarmaya çalışıyorum ama uygulama asla çalışmıyor. 10 dakika bekledim, aynı ekran var. Çok kötü bir uygulama. Web sitesi üzerinden de işlem yapılamıyor. Maalesef yalnızca mobil uygulama üzerinden kart çıkarma yapılabiliyor."
5595,"Merhaba, burasının temizliğiyle kim ilgilenecek acaba? Her yer ot, yılan, böcek; tam da sitelerin yanında hiç yakışmıyor. Güzel Çorlu'ya! Ayrıca yolda çökme yaşanmış, içine düşme yaşanabilir! Lütfen biraz etrafı temizlemek ve düzenlemek zor olmamalı. Biraz bu taraflara da görsel destek sağlayın lütfen..."
5596,"Kuryenet müşteri temsilcisine bir türlü bağlanamıyorum. Dalga mı geçiyorsunuz? Millet sizinle mi uğraşacak! Ödemelerimi yapacağım, kartım olmadan mobil bankaya da giremiyorum. Ödeme de yapamıyorum. Bu ne vurdumduymazlık, bir an önce ulaşın bana."
5603,BKM kitap tan 26 Haziran çarşamba TS260623542031 numaralı sipariş verdim. Siparişim ücret ödemesi alınmasına rağmen bir haftadır hazırlanıyor olarak görünüyor. Sipariş i iptal et seçeneği de yok. Kitapları kargoya teslim etsinler artık ve ta ücret iadesi istiyorum.
5605,"In Street'ten aldığım ayakkabının arka kısmı plastik kırılmış ve ayağımı acıttığı için incelemeye gönderdim. Bu bizim hatamız değil dediler. Ayakkabının biri sağlam, biri kırık. Bunu ben yapsam ikisi de kırılırdı. Bu durumdan şikayetçiyim. Ürünüm ya değişsin ya da iade edilsin. Bu durumdan şikayetçiyim."
5610,"Bağcılar Şafak Hastanesi'nde 14/06/2024 tarihinde ameliyat olacaktım. Ameliyat ücretini yatırdım. İlgisizlik ve sürekli ameliyat saatinin ertelenmesi üzerine ameliyat iptal oldu. Yatırdığım ameliyat ücretini geri yatırmıyorlar. 21 iş günü geçmesi gerekiyormuş. Hastayım, paramı alıp tedavi olamıyorum."
5611,"Merhaba,"
5614,Samsunspor kombine koltuk değişim tarihinde yapılan başvuruda sistem arızalı diye işlem yapılmadı. 'Bugün git yarın gel' hesabı. İki gün dışından bu iş için gelenlerin mağduriyetleri ne olacak? Bu işlem için gerekli hazırlık neden yapılamıyor? Veya Passolig müşterilerine neden bilgi verilmiyor?
5615,Ben 27 Haziran'da bu firmayla Adana'dan Gaziantep'e geldim. Öncelikle kalkış 1 saat gecikmeli oldu ve klima hiçbir şekilde çalışmadı.
5616,"Samsung'dan aldığım klimaya bin pişman oldum. Antalya gibi bir yerde hava 45 derece, ofis yanıyor, 9 gündür servis gelip kurulum yapmıyor. Personelleri evlerine yolladım, sıcaktan evden çalışıyorlar. Servisi arıyorum, telefona cevap vermiyorlar. Kalkandaki şubeye gidiyorum, kapı duvar, insan yok."
5621,"T. S***** Hukuk diye hukuk bürosu olduğunu söyleyen kişi/kişilerden 0312 905 ** numaralı telefon bilgileri içeren, 'Dosyanız hukuk büromuza devredilmiştir, mağdur olmamak için arayınız' şeklinde mesajlar aldım. Emin olmama rağmen ben kontrollerimi yaptığımda hiçbir yasal borcum olmadığını gördüm."
5625,24/06/2024 günü aracımın satışını yaptım. Dilekçe kimlik ve satış sözleşmesini yollamama rağmen kaskonun iadesi yapılmadı ve dönüş yapama gereği bile yapılmadı sigortam Allianz firmadan yapıldı aynı gün iademi yaptılar cevap verir ve ilgilenirseniz sevinirim.
5627,"Acıpayam yüzme havuzunda çalışan eğitmenin oranın babasının çiftliği olmadığının, insanlara zorlama, manipülasyon, keyfi hareketler yapmaya haklarının olmadığını hatırlatacak bir denetleme mekanizması var mı? Bu kadar ukalaca ve saygısızca tavırlara söylenebilecek söz yok."
5630,Muzaffermutlu987 hesabı nedensiz bir şekilde banlanmış bulunmakta. Nedenini öğrenebilir miyim? Sivas'taydım ve bilgisayarı evde bıraktım. Döndüğümde hesap banlanmıştı. Bursa'da yaşıyorum ve banımın açılmasını talep ediyorum. Gereken her şeyi yapmaya hazırım ve ilgilenmenizi bekliyorum.
5631,"Merhabalar, kolay gelsin. Öncelikle sipariş vermek istiyorum ama eve teslimat yok diyor. Yaşadığım şehirde mağaza yok, istesem de alamam zaten. Bir an önce yardımlarınızı bekliyorum. Aksi takdirde farklı bir siteden almak zorunda kalacağım ihtiyaçlarımı."
5632,Hepsijet kargomu kaybetti. 9 haziranda Stradivarius üzerinden bir sipariş oluşturmuştum elimde kargo takip no bile var. Hepsijet sitesine girdiğimde takip no ulaşılamıyor hatası ile karşılaşıyorum. Stradivarius ile görüşmem sonucunda kargomun 13.06.2024 tarihinde depodan çıktığını görüntülüyorlar yani Hepsijet kargomu kaybetti ulaşamıyorlar şu an.
5633,Asus TUF Gaming VG249Q1A LED Monitör Yetkili Servis Sorunu
5636,"Würt Marka OBD cihazımı güncelleme satın almadığım için, çöktüğünde bilgisayarıma tekrar kurulum yapamayacaklarını iletiyorlar. Yazılım firması ürünü sattıktan sonra alınmış olan mevcut kullanıma desteğini kesemez."
5638,"800 TL üyelik ücreti kesiyorlar, resmen haksızlık yapılıyor. Kart aidatının iadesini talep ediyorum. Sizin bankanızla çalıştığım ve sizi tercih ettiğim için hata mı ettim? Bazı banka şubeleri ömür boyu ücretsiz yapıyor, onlardan neyiniz fazla da üyelik ücreti ödüyoruz?"
5644,"Ben kiracıyım. Elektrik ev sahibimin adına, fatura bildirimi bana gelmiyor. Evdeydim, elektriğimi kesmişler. Baktım, son ödeme 12 Temmuz'da olmasına rağmen, bugün ayın 2'si, daha kesmişler. İnsan bekler biraz. Kafasına göre hemen keser mi? Böyle saçmalık olmaz, daha 10 gün var."
5645,"2023 model Mondial Strada 125 CC motosiklet aldım. Henüz 520 km'de olmasına rağmen motor hareket ederken ve dönüşlerde titreme yapıyor. Bu konuda çok mağdur oldum. Ayrıca kimse ilgilenmiyor, telefonlara bile bakmıyorlar. Bulunduğumuz ilçe mahrumiyet bölgesi, motor ustası yok."
5646,Elazığ Nissan bayisinde bagaj camı su aldığı için garanti kapsamında söküp takıldı. Spoiler den ses geldiği için ona da bakılmasını istedim ama zarar verilmiş ve tornavida izleri var. Bagaj camı ile spoiler arsına sünger yerleştirilmiş ki görüntü kirliliği tamamen. Spoilerin değiştirilmesini talep ediyorum.
5650,"Merhaba,"
5651,"23 Haziran'da biletim vardı Fatsa Otogarı'ndan AŞTİ'ye. İptal ettim ama hâlâ daha paramı yatırmadılar. En kısa sürede yatırın yoksa CİMER'e başvuracağım. Niye boş yere insanı bekletiyorsunuz? Yatırın paraları, sokakta bulmuyoruz biz de bu paraları. İhtiyacı olanlar var."
5653,2 Temmuz salı günü 385622637 no lu Çiçek siparişimin yanında gönderilen keklerin son kullanma tarihi geçmiş. İnsan hayatı bu kadar ucuz mu yedikten sonra fark ettik şu an karnımız ağrıyor. Ayıp be ayıp. Hem çiçeği gönderdiğimiz kişiye rezil oluyoruz hem sağlığımızdan oluyoruz.
5655,"E-devletten girince bu hatayı alıyorum: Belirttiğiniz konum için abonelik yapılamamaktadır. Değerli Müşterimiz, Talepte bulunulan tesis için abonelik başvurunuz E-Devlet üzerinden gerçekleştirilememektedir. Abonelik başvurunuzu www.ckbogazici.com.tr adresinden gerçekleştirebilirsiniz. Siteye yönlendirilince de tekrardan E-devlete geri atıyor ve olmuyor. Bu sorunu çözerseniz sevinirim."
5656,"Google Ads CC@google.com adlı firma, rızam olmadan kredi kartımdan gece 00,00'da 5000 TL sonra yine 240 TL para çekmiştir. İadesini talep ediyorum. Hiçbir şekilde rızam ve onayım yoktur. Ne olduğunu bilmiyorum. Geri ödenmesini talep ediyorum, aksi takdirde gerekli yasal işlemler başlatılacaktır."
5657,"Turkcell avukatıyım deyip hiçbir şekilde kendini tanıtmayan bir şahıs, ailemi ve çevremdeki yakınlarımı arayarak seni sülalene rezil edeceğim diye tehdit eden şahıstan şikayetçiyim. Numarası 0539574**. Borcumuz var diye hakaret ederek konuşma hakkına nereden sahip? Bu üslubundan dolayı avukat değil yanıltıcı olduğunu düşündüm."
5658,Videolar paylaşmışlar adıma hesap açılmış videodaki ben değilim. Instagram'dan fotoğrafımı alıp paylaşım yapmışlar. Böyle şeylere hakları yok şikayette bulunmak istiyorum. Fake videoları paylaşıp benim olduğumu söylemişler. Böyle bir durum yok şikayette bulunmak istiyorum.
5659,Prokent nakliyat (Malatya) paranla rezil olmak deyimini iliklerime kadar yaşattılar. 3 kez fiyat artırdılar (tabi eşya yüklendikten sonra). Ambalajlama çok kötü hatta hiç ambalajlama yapılmamış gibi. Getirdikleri evde dolapları kurmadan öylece bırakıp gittiler. Telefonlara bile cevap vermiyorlar.
5662,Zümrüt gözlükten almış olduğum gözlüğün camı yerinden çıktı. İletişime geçiyorum ama hiçbir şekilde yardımcı olmuyorlar. İlgi sıfır. Asla daha alışveriş yapmam bu siteden pişmanlık resmen. Ürünü kusurlu ama kabul etmiyorlar. Bu nasıl bir saçmalıktır anlamış değilim gerçekten.
5665,12 Haziran tarihinde Yapı Kredi üzerinden BES başvurusu yaptım. Neredeyse 1 ay geçmesine rağmen ne onay var ne de bir gelişme var. Hiçbir şekilde işlem yapamıyorum. Bu konuda destek olur musunuz yoksa iptal etmek zorunda kalacağım. Daha fazla beklemek istemiyorum.
5670,0216 709 05 75 numaralı telefondan arandım. Yapı Kredi'den anket için arıyoruz dediler. 'Evet' kelimesini almak ister gibi sorular geldi. Bundan dolayı gelebilecek bir sıkıntıdan doğabilecek bir durumdan zarar görmemek için bu açıklamayı yapmak durumundayım. İlgili mercilere delil olmasını istiyorum. Saygılar.
5671,"Selam, ben QNB Finansbank maaş müşterisiyim. Benden neden EFT ücreti kesiliyor? Ben hesap açarken özellikle sordum, benden EFT ücreti kesilecek mi diye. Kesilmeyeceğini söylediler. En kısa zamanda mağduriyetimin giderilmesini rica ediyorum. Şikayetlere baktığımda hep aynı şikayetler, herkes mağdur edilmiş."
5672,"Mobilden önce kartımı kapattım. Ardından hesabımı kapatmak istediğimde ""Kartınız olmadığı için hesabiniz kapatamıyoruz. Çağrı merkezinden işlem sağlayamıyoruz. En yakın şubeye başvurmanız gereklidir"" uyarısı alıyorum. Derhal hesabımın kapatılmasını istiyorum. Aksi takdirde ilgili mercilere bildireceğimi iletiyorum. Şubeye gelmeyeceğim."
5673,Tam adresten 21.06.2024 tarihinde sipariş ettiğim 000481995 numaralı kargom hâlâ paket hazır olarak gözüküyor ve kargoya verilmedi. Lütfen en kısa zamanda kargoya verilsin. Ürünü satın alırken 1 günde kargoya verileceği vaat ediliyordu. Şikayetimin en kısa zamanda çözülmesini bekliyorum.
5680,İzmir Aliağa şubesinden koltuk takımı ve yatak odası aldık Kurulum yapmaya gelmiyorsunuz peşinizden koşturuyorsunuz 3 hafta oldu elemanınızın olup olmaması beni ilgilendirmez mağdur ediyorsunuz her seferinde. Bir an önce kurulumunu yapın. Söyleyin çaresine bakalım
5681,"27.06.2024 tarihinde Şok Market'ten eve sipariş verdim. Karpuz gelmedi. Tam 5 gündür müşteri hizmetlerini arıyorum, her gün 'bugün gelecek' deniyor. 5 gündür gelmiyor, ne param veriliyor ne de ürün geliyor. Böyle sorun çözemeyen bir müşteri hizmetleri olamaz. Sadece 'anlıyorum' diyorlar, o kadar."
5685,Teknosa mobil uygulamasından 01 Temmuz 2024 tarihinde LG 75NANO766QA 75 İnç 189cm TV satın aldım. Sistemsel sorun bahane edilerek siparişim aynı gün 01 Temmuz 2024 tarihinde iptal edildi ve dolayısıyla mağdur edildim. Sorunumun çözülmesini istiyorum.
5688,"Hepsijet, kargomu 'alıcı evde bulunmuyor' diye iade etti. Adresimde sorun var diye fakat hiçbir kurye bile beni aramadı. Kargomun iade olmasını istemiyorum. Müşteri hizmetlerini aradım, mahalle ismi yok diye geri göndermişler fakat mahalle ismi yazılı."
5692,"Hepsiburada uygulamasından Hepsiburada satıcılı Kumtel mikrodalga aldım. Ürünü indirimden aldığım için yollamıyorlar. Ürünün fiyatını artırmışlar, şimdi alabilirsiniz diyorlar. Bir de diyorlar ki indirimde iken ürün olmadığı için göstermelik indirim yapıyorlar."
5693,"Taft yeni versiyonları HaptIQ System yazan ürünlerle eski versiyonlar arasında fark var, hiç tutmuyor. Değişik bir kokusu var, hiçbir yerde bulamıyorum. Çözüm lütfen. Gratis, Watsons, Rossmann gibi diğer firmalarda da yeni versiyonlar var, çözüm istiyorum."
5695,"Matadorbet adlı site güvenilir bir site değildir. Para yatırdım, hesabımı sıfırladı ve son üç işlem etkinliktir diyerek çekim yapmama izin vermediler."
5698,"Ide66604f70333bc numaralı siparişimde idefix sitesinden annemin robot süpürgesi için modelin koduna uygun olduğu belirtilen şarj dockunu satın aldım. Dock'u denediğimizde hem şarj etmedi, hem robot dock'u tanımadı, hem de onların kaybettiği dock'tan farklı görünüyordu. Yani üründe arıza ve hata vardı."
5699,26.06.2024 tarihinde Pull and Bear sitesinden yaptığım alışveriş 7. Gün olmasına rağmen kargoya verilmedi. Ne bir muhatap var ne de bir ilgili. İnsanlar siz yoğunsunuz diye beklemek zorunda değil. Yoğunlukta veya rahat dönemde prosedüre uyulmalı. Bu çağda bir haftaya kargoya verilememesi çok saçma
5700,Migros mağazalara katalog neden gelmiyor. Kataloglara bakıp fiatlara bakıp ürün seçiyorduk şimdi yok. Nedeni nedir Migros bir katalog bastıramıyor mu. Katalog varken iyi kötü Fiat karşılaştırıyorduk şimdi onu da kestiniz katarlılara satılınca daha kötü oldu
5702,"Baywin adlı sitedeki hesabımı kapatmak istiyorum ancak müşteri hizmetleri böyle bir işlemin yapılamayacağını, siteye giriş yapılmadığı süreç içerisinde bir sorun olmayacağını söyledi. Bu durum kabul edilemez, hesabımın kapatılmasını istiyorum ve bu konuda oldukça kararlıyım."
5705,Gardrops hesabımda ki bakiyeyi hesabıma aktarmak istedim. 3330₺ bakiyem hesabıma aktarılmış gözüküyor fakat aktarılmadı. Bununla ilgili mail attığımda otomatik yanıt geliyor ve paramı alamıyorum. Satışlarımın sonucunda param yok oldu. Gardrops ekibi paramı iletmiyor. Param nerede?
5706,Vivense markası pişmanlıktır. 2 yıl garanti kapsamındaki yatak odası dolap sorunu için Mart ayından beri herhangi bir sonuç alamadım. Markaya ulaşma şansım maalesef yok. Çünkü müşteri hizmetleri sizi hep uygulamaya yönlendiriyor. Uygulama içinde de hiçbir kayıt görünmüyor. Artık tüketici masasına başvurup gerekeni yapacağım.
5707,"Evkur Gaziantep Karataş şubesinden klima aldık, 8 gün önce peşin ödedik ücreti, hala getirmediler. Böyle saçmalık olamaz. Ha bugün ha yarın deyip oyalıyorlar. Bir daha tövbe Evkur'dan eşya almaya, Allah korusun, insanda sinir sistemi bırakmadılar. 😡😡😡 İnsanları yanıltmak günah yahu."
5708,PTT Kargo çalışmak istememe rağmen internet üzerinden siparişlerimde PTT ile çalışan satıcılar yüzünden şu iş yapmaz şirket ile uğraşıyorum. 5 gündür sipariş transfer merkezinde ve uğraşıyorum. Acil çözümü bekliyorum ama ilgili bulmak da zor. Belki gören olur da yardım eder kargo no :KP0509****530
5712,Cam kapların kapak lastiklerinde koku olduğundan dolayı kullanım sağlayamıyoruz. Lastiklerin çok yoğun kokusu var. Bundan dolayı yiyeceklere geçecek diye kullanım sağlayamıyoruz. Bu sorun ile ilgili dönüşlerinizi bekliyorum. Çok rahatsız edici bir durum.
5713,"Trendyol Fixreyon mağazasından satın aldığım Laurastar ütüm kireç atıp duruyor. Aynı zamanda buharla birlikte sarı renkte su atıyor ve bütün çamaşırları tekrar yıkamak gerekiyor. Çok can sıkıcı gerçekten, garanti sürem dolmadı, ilgilenilmesini talep ediyorum."
5715,Kablo Net müşteri hizmetleri yanıt vermiyor. Faturamızı geciktirdik diye hizmeti kestirler. İki gün oldu ödememize rağmen TV kanalları yok. Sitelerine girdiğimizde ise robot değilim sorgulaması bile sürekli tekrar tekrar istiyor. Robot değilim kardeşim. Bu mudur yani güvenlik sisteminiz
5718,BİM'den aldığımız centro marka gofret kurtlu çıktı. Yani anlayamıyorum bunlar hiç mi denetlenmiyor ya da hiç mi test edilmiyor. Dun aksam balkonda otururken karanlıkta yedim bir de bir tanesini. Midem bulandı. Biraz daha özenli olunabilir hele ki konuş gida ise.
5719,"Kumtel Airfryer aldım, garanti devam etmekte. Makinemin içi hep paslandı ve kokuyor. Silmeme rağmen pas sürekli oluyor. Değişim istiyorum. Paslanmadan dolayı kullanamıyorum. Makinenin kendisi paslandı, daha önce hazneleri değişti pastan dolayı."
5721,"1 sene önce aldığımız Kumtel beyaz tam boy fırın 5,6 kez servis işlemi gördü. Buna rağmen bir sonuç elde edilemedi. En son gelen servis değişim iade talep etti. Aldığımız yerle iletişime geçmemizi istedi. Bununla ilgili gereğinin yapılmasını arz ederim."
5724,"LCW Çark'tan indirim kazandım. Önceden uygulanan indirim, katılım şartı sağlanamadı diye uygulanmadı. Sepetimde duran ürünlerde önceden indirim uygulanıyordu, şimdi uygulanmıyor. Madem indirim uygulamayacaksınız, %30 indirim diye insanları mağdur etmeyin."
5725,Superonline ev internetim sıklıkla kesiliyor. Evden çalıştığım için GB gönderilerek telafi edilmesini talep ediyorum. Ayda 2 kereden fazla GB gönderemiyorlar. Ev internetim ayda 2 kereden fazla kesiliyorsa benim suçum mu? Mağduriyet telafi edilmiyor.
5731,Türkiye Hayat Emekliliği günlerdir arıyorum ve ulaşım sağlayamıyorum. Çıkış süreci ile ilgili gerekli her türlü girişi yaptıktan sonra otomatik olarak atıyor. Kötü bir şirket ve artık asla bu şirket ile iş yapmayacağım. Bir an önce paramı geri verin yoksa artık mahkemede görüşürüz.
5732,"QNB Finansbank kredi kartı başvurusu yaptım, onaylandı ve kart kuryeye verildi. Mesajı geldi fakat ne kart geldi ne de mobil bankacılıktan şifre alabiliyorum. Müşteri hizmetlerine bağlanınca da asistan, şifre alınmadığı için çağrıyı sonlandırıyor. Çözüme ulaşmasını rica ediyorum."
5736,"Sigortaladım sitesinden sigorta yaptırdım. E-devlette gözükmüyor fakat sigorta sözleşmesi bana yollandı. Normalde e-devlette görünmesi gerekmiyor mu? 29.06.2024'te yaptırdım. Müşteri temsilcisi bana pazartesi düşer dedi, hâlâ düşmüş değil. Sisteme trafikte gözüktüğü söylendi. Böyle bir durumla ilk defa karşılaştım."
5740,Asansör arızalı 25 gündür yapılamıyor yetkili şirket bakmıyor arıza parçadan dolayı ha geldi ha gelecek bütün bina mağdur durumda nasıl bir paraca 25 günde değişimi yapılamaz belli ki işini ciddiye almıyorlar her aramamızda bir bahane ile geri çevriliyoruz.
5742,"Migros Sanal Market üzerinden 22.06.2024 tarihinde 455332860 numaralı siparişle karpuz istedim. 199,95 TL karşılığı çürük, kokmuş karpuz gönderdiler. İade istedim. Ertesi gün gelip aldılar ama paramı iade etmediler. Çağrı merkezi görüşmemde sonuç alamıyorum. Migros hem yeni ürün göndermiyor hem de paramı iade etmiyor."
5744,Ayın 18 inde aboneliği sonlandırdım üzerinden 15 gün geçti halen tarafıma güvence bedeli ödenmedi konuyla acilen ilgilenilmesini istiyorum. Telefonla aradım sürekli geçiştiriyorlar insanları mağdur etmeyin. Yeni abonelik aldığımızda bizde sonuçta size ödeme yapıyoruz
5746,"6 gündür sipariş vermişim, hâlâ siparişim hazırlanma aşamasında. Ne zaman gelecek kargom, merak ediyorum. Bir an önce yardımcı olursanız sevinirim. Gerçekten daha önce sipariş vermiştim, hemen geldi ama şu an bugün yarın gelecek diyorum, hâlâ siparişlerim hazırlanıyor."
5748,Canlı yayın kısmına girip canlı yayını başlatmak için butona bastığımda üçten geriye gelen geri sayım başladığı gibi beni yine ana sayfaya atıyor.
5749,34 dlv 725 plakalı aracımın satışı haftalar öncesinde gerçekleşmiş ve 28.06.2024 gününe ödeme için gün verilmesine rağmen gelinen aşamada tarafıma ödeme yapılamamıştır. Telefonla yapılan görüşmelere rağmen yapılacak denilip oyalama politikası gerçekleştirilmektedir. Alacağım ile ilgili yasal yollara başvuracağım.
5753,Bershka siparişim her seferinde iptal ediliyor. Asla ücret iadesi yapmıyorsunuz. Ya siparişimi bana ulaştırın ya da acil ücret iademi gerçekleştirin. Acil bu durumun çözüme ulaştırılmasını istiyorum. Çok acil! Siparişlerim neden iptal ediliyor?
5755,Karaca Mall Of İstanbul mağazasından aldığımız kahvaltı takımının bir parçası kırık çıktı. 16 Mart 2024 tarihinde değişim talebinde bulunduk. Mağaza yetkilileriyle görüşmemize ve sorunun çözüleceği söylenmesine rağmen halen bir gelişme olmadı. Sürekli sevkiyatla ilgili problem olduğu söyleniyor. Yaklaşık 5 ay oldu. Bir kırık tabağı değiştiremediler.
5757,"Fugaa Design iade kabul etmiyor ve kanunlara karşı gelerek kendi haklı sanarak 'istediğiniz yere başvurabilirsiniz, biz de size karşı savunmamızla geleceğiz' diyorlar. İkili takım aldım. Her yere boya bulaştırdı, hatalı ürünü olmasına rağmen iade kabul etmediklerini söylediler."
5759,"Ziraat Bankası şubesi vadeli hesabımı hesap güncellemesi yapmadığı için 1 aylık faizim çöp oldu. Fark etmeseydim 2. Ayda aynısı olacaktı. Güncellemeyen orada çalışan kişi benim hatam değil, onlara ait."
5762,"Vodafone hediye çarkını çeviremiyorum. Sürekli 'Bir şeyler ters gitti, tekrar deneyiniz' diye hata veriyor. Sorun ne olabilir? Yoğunluk diye düşünmüştüm ama değil, 2 gündür hiçbir düzelme olmadı. Bu konuda yardımcı olursanız sevinirim. Sistemden mi kaynaklı?"
5763,FastPay hesabıma giremiyorum. Uygulama uyarı veriyor. Uygulamada sıkıntı vardır diye silip yeniden yükledim fakat yeniden uyarı vermeye devam ediyor ve hesabıma giremiyorum. Hesabıma para gelmesi gerekiyor geldi mi gelmedi mi onu da göremiyorum direkt hesaba giremediğim için. En kısa zamanda sorunu çözmenizi umuyorum.
5767,"Kucoin üzerinden Trust Wallet'e USDT (kcc ağıyla) gönderdim. Ancak para orada kitlendi kaldı, hiçbir şekilde çekemiyorum. Kucoin'e aktaramıyorum, sürekli aynı ekran çıkıyor: 'Aktarım için yetersiz kcc'. Halbuki gönderim ücreti de yok görünüyor. Gönderim ücreti olsa dahi içinden çekmiyor, kabul olmuyor."
5769,Gediz PTT Kargo şubesinden Erciş PTT Kargo şubesine kapıda ödeme olarak 4 Çuval bir tane de kutu verdim. Kargocu binanın kapısının önüne bırakarak ben çıkarmam biz yirmi kilodan fazla çıkaramıyoruz. Benden alırken dört çuval bir kutuya 3000 TL para aldılar.
5772,"LCW çark çevirip %30 indirim hakkı kazanmama rağmen, fotoğrafta da görüldüğü gibi katılım şartlarına uygun olmasına rağmen, katılım şartları sağlanamadı şeklinde bir ifade ile çarkı çevirip kazanmış olduğum indirim hakkı uygulanmamıştır. Kazanmış olduğum indirimin ürünüme yansıtılmasını rica ederim."
5773,Adreste olmama rağmen sisteme kargom dağıtıma çıkarıldı adreste değil diye girilmiş ama ben tüm gün kargoyu bekledim. Bana dağıtıma çıkarılacağı ile ilgili mesajı atan da alışveriş yaptığım site oldu. Kargom hakkında bilgi almak için müşteri hizmetlerinden aldığım numaralardan hiç birine ulaşamadım. Bu yüzden şikayetçiyim
5777,Merhabalar sertifika almama rağmen giriş yaparken sayfa hata veriyor. Yardımcı olur musunuz almam gereken sertifikalar var. 2 bilgisayar 1 telefonla denedim aynı hatayı veriyor! Neden böyle oluyor yardımcı olursanız çok sevinirim. İçeride almam gereken sertifikalar var
5785,"Fenerbahçe kombine yenilemede uygulama sürekli hata veriyor, bu yeni güncellemeniz hiç iyi olmamış. Çözüm nedir şimdi? Bütün istenilen bilgileri doğru girdiğim halde sürekli hata veriyor, Nedir yani şimdi kombine yenileme işlemleri olmayacak mı, lütfen acil çözüm."
5787,Konut kredisi çekerken Türkiye Hayat Emeklilik BES 18 yaş altı yaptırmayı şart koşarak mecbur bıraktılar. 200 TL ile başladığımız katkı payı benim izinim ve müsaadem olmadığı halde sürekli arttırılıyor. Şu an 600 TL oldu. Mevcut katkı payını ödeme imkanım yok. Katkı payının düşürülmesini talep ediyorum.
5794,"İyi günler öncelikle merhaba, ben Media Markt'tan sipariş etmiş olduğum ürünümün kurumsal olarak faturalandırılması için kurumsal faturalandırmayı tercih etmeme rağmen bireysel bir fatura kesilmiş. Faturamın kurumsal olarak güncellenmesini istiyorum."
